# compute-mfcc-feats --write-utt2dur=ark,t:exp/make_mfcc/train_teamlab/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:exp/make_mfcc/train_teamlab/wav_train_teamlab.1.scp ark:- | copy-feats --write-num-frames=ark,t:exp/make_mfcc/train_teamlab/utt2num_frames.1 --compress=true ark:- ark,scp:/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.ark,/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.scp 
# Started at Thu May 27 13:39:30 CEST 2021
#
copy-feats --write-num-frames=ark,t:exp/make_mfcc/train_teamlab/utt2num_frames.1 --compress=true ark:- ark,scp:/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.ark,/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.scp 
compute-mfcc-feats --write-utt2dur=ark,t:exp/make_mfcc/train_teamlab/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:exp/make_mfcc/train_teamlab/wav_train_teamlab.1.scp ark:- 
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1657_29_1660_53
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1665_94_1670_59
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1671_85_1679_74
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1685_61_1688_66
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1713_84_1715_59
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1717_92_1736_86
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1736_90_1749_40
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 40 utterances
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1749_50_1759_52
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_175_30_178_74
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1760_82_1781_02
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1784_99_1793_84
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_178_75_182_88
